user_uid,email,phone,registration_date,country,account,account_type,account_open_date
009bd226-2ae5-a8af-ab70-0b5bc96b157a,hwejrogt@olpwtwd.uuo,+20 (291) 676-12-1,2020-12-27 07:33:35.454768,BC,2308401,demo,2020-12-29 16:44:52.454768
00afb001-d107-2e57-f9a4-88c65e5b1947,dervrgren@vbhyldlk.eve,+15 (938) 276-43-4,2019-04-06 10:08:59.454768,WR,5076402,demo,2019-04-12 18:41:41.454768
00afb001-d107-2e57-f9a4-88c65e5b1947,dervrgren@vbhyldlk.eve,+15 (938) 276-43-4,2019-04-06 10:08:59.454768,WR,5076401,demo,2019-04-18 01:01:21.454768
00fcfd08-f6da-008b-497e-6cc4345deda1,zyfqsbuei@hbnjymzpmh.rnb,+43 (798) 100-61-6,2021-01-24 20:15:32.454768,VF,7125702,demo,2021-01-26 08:21:03.454768
00fcfd08-f6da-008b-497e-6cc4345deda1,zyfqsbuei@hbnjymzpmh.rnb,+43 (798) 100-61-6,2021-01-24 20:15:32.454768,VF,7125701,demo,2021-02-12 05:57:10.454768
028076e5-c6b2-065d-3b5a-949eeff56138,blkuuofmpu@ieewkioy.kpk,+36 (938) 970-46-2,2019-04-14 23:20:07.454768,VO,8273902,demo,2019-05-12 22:49:50.454768
028076e5-c6b2-065d-3b5a-949eeff56138,blkuuofmpu@ieewkioy.kpk,+36 (938) 970-46-2,2019-04-14 23:20:07.454768,VO,8273901,demo,2019-04-16 23:13:18.454768
04b0fdd6-e57a-35a2-aaa0-374e159a7f9f,fvnnzky@hpvivgva.eaf,+23 (625) 704-76-7,2021-02-08 16:43:18.454768,UP,1411701,demo,2021-03-04 15:43:05.454768
077e29b1-1be8-0ab5-7e1a-2ecabb7da330,tgdrw@gspinbi.ghr,+6 (898) 582-54-39,2020-04-23 12:50:04.454768,VJ,24901,demo,2020-05-22 21:58:07.454768
08026ca9-69f7-fb6f-2229-dea34eeee65f,agefphrdr@mnibnmvemi.hnp,+82 (600) 497-10-8,2021-02-14 16:17:07.454768,TJ,5567602,demo,2021-03-08 06:18:59.454768
08026ca9-69f7-fb6f-2229-dea34eeee65f,agefphrdr@mnibnmvemi.hnp,+82 (600) 497-10-8,2021-02-14 16:17:07.454768,TJ,5567601,demo,2021-03-16 10:53:40.454768
081d0ec2-2855-afd8-f186-852e49fbda9a,gbxtds@siyktqyhu.vad,+67 (926) 300-51-4,2021-08-17 06:18:41.454768,KO,6333901,demo,2021-09-02 07:15:42.454768
081d0ec2-2855-afd8-f186-852e49fbda9a,gbxtds@siyktqyhu.vad,+67 (926) 300-51-4,2021-08-17 06:18:41.454768,KO,6333902,demo,2021-08-18 21:52:00.454768
09437465-e0af-9d6f-b450-7a834f1e4653,bhkrsi@smeulhglmb.gfd,+2 (376) 922-35-67,2021-01-04 01:16:25.454768,NV,9542702,demo,2021-01-29 06:02:39.454768
09437465-e0af-9d6f-b450-7a834f1e4653,bhkrsi@smeulhglmb.gfd,+2 (376) 922-35-67,2021-01-04 01:16:25.454768,NV,9542701,demo,2021-01-26 06:57:32.454768
0b911e79-3b20-0683-0972-e74a9d3990cb,ijrtaqlpe@klhyovnnu.apk,+36 (617) 876-58-6,2020-01-23 09:47:25.454768,YK,9232202,demo,2020-02-08 05:21:47.454768
0b911e79-3b20-0683-0972-e74a9d3990cb,ijrtaqlpe@klhyovnnu.apk,+36 (617) 876-58-6,2020-01-23 09:47:25.454768,YK,9232201,demo,2020-02-08 21:43:42.454768
14798b41-2a98-c8ff-fb47-d0778b6b7c74,dbsaamqal@wvfgjgplh.whq,+64 (618) 776-21-1,2018-11-28 23:45:51.454768,WY,1416001,demo,2018-11-30 03:06:08.454768
14798b41-2a98-c8ff-fb47-d0778b6b7c74,dbsaamqal@wvfgjgplh.whq,+64 (618) 776-21-1,2018-11-28 23:45:51.454768,WY,1416002,demo,2018-12-10 13:17:05.454768
152830ab-b650-20d0-f694-9cb584760162,nhorc@ohljtljmc.tyo,+28 (196) 488-44-3,2019-01-03 09:00:51.454768,WT,4366902,demo,2019-01-12 01:59:25.454768
